work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Senior Level,Full Time,Data Manager,82500,USD,82500,US,100,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,176000,USD,176000,US,0,US,Medium
2023,Executive,Full Time,Data Engineer,465000,USD,465000,US,0,US,Medium
2024,Mid Level,Full Time,Data Engineer,45000,GBP,56250,GB,0,GB,Medium
2021,Executive,Full Time,Head Of Data,230000,USD,230000,RU,50,RU,Large
2023,Senior Level,Full Time,Data Architect,215000,USD,215000,US,100,US,Medium
2023,Senior Level,Full Time,Data Scientist,118720,USD,118720,US,100,US,Medium
2024,Mid Level,Full Time,Data Scientist,180000,USD,180000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,105000,USD,105000,CA,0,CA,Medium
2022,Mid Level,Full Time,Analytics Engineer,200000,USD,200000,US,0,US,Medium
2023,Executive,Full Time,Head Of Data,329500,USD,329500,US,0,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,109400,USD,109400,US,0,US,Medium
2022,Senior Level,Full Time,Data Engineer,117000,USD,117000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,92000,USD,92000,US,0,US,Medium
2024,Mid Level,Full Time,Data Engineer,90000,USD,90000,US,0,US,Medium
2021,Mid Level,Full Time,Machine Learning Engineer,74000,USD,74000,JP,50,JP,Small
2023,Senior Level,Full Time,Data Engineer,205500,USD,205500,US,0,US,Medium
2021,Mid Level,Full Time,Data Scientist,39600,EUR,46809,ES,100,ES,Medium
2022,Mid Level,Full Time,Data Analyst,100000,USD,100000,US,0,US,Medium
2024,Senior Level,Full Time,Data Science,237500,USD,237500,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,112000,USD,112000,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,270000,USD,270000,US,0,US,Medium
2024,Mid Level,Full Time,Machine Learning Engineer,85000,EUR,94444,IE,100,IE,Medium
2024,Entry Level,Full Time,Data Analyst,58000,USD,58000,US,0,US,Medium
2023,Mid Level,Full Time,Data Engineer,120000,USD,120000,US,100,US,Medium
2024,Entry Level,Full Time,Data Analyst,124650,USD,124650,US,0,US,Medium
2024,Senior Level,Full Time,Data Scientist,138500,USD,138500,US,0,US,Medium
2022,Entry Level,Full Time,Data Scientist,124234,USD,124234,US,0,US,Medium
2024,Senior Level,Full Time,Data Architect,149000,USD,149000,US,100,US,Medium
2023,Senior Level,Full Time,Data Scientist,155000,USD,155000,CA,0,CA,Medium
2023,Executive,Full Time,Head Of Data,270000,USD,270000,US,100,US,Medium
2024,Executive,Full Time,Head Of Data,230000,USD,230000,US,100,US,Medium
2024,Senior Level,Full Time,Robotics Engineer,152000,USD,152000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,139700,USD,139700,US,100,US,Medium
2024,Senior Level,Full Time,Analytics Engineer,156000,USD,156000,US,0,US,Medium
2024,Senior Level,Full Time,Data Analyst,100000,USD,100000,US,0,US,Medium
2023,Senior Level,Full Time,Business Intelligence Analyst,176838,USD,176838,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,72000,EUR,77737,ES,100,ES,Medium
2022,Entry Level,Contract,Applied Machine Learning Scientist,29000,EUR,30469,TN,100,CZ,Medium
2024,Entry Level,Full Time,Data Analyst,102000,USD,102000,US,100,US,Medium
2023,Mid Level,Full Time,Data Scientist,105000,USD,105000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,112400,USD,112400,GB,0,GB,Medium
2024,Senior Level,Full Time,Data Science,90000,USD,90000,US,0,US,Medium
2022,Mid Level,Full Time,Machine Learning Scientist,112300,USD,112300,US,100,US,Large
2023,Executive,Full Time,Director Of Data Science,175000,USD,175000,US,100,US,Medium
2023,Senior Level,Full Time,Data Engineer,241000,USD,241000,US,0,US,Medium
2023,Mid Level,Full Time,Machine Learning Engineer,260000,USD,260000,US,0,US,Medium
2023,Entry Level,Full Time,Ai Developer,60000,EUR,64781,DE,0,DE,Medium
2022,Mid Level,Full Time,Data Scientist,70000,EUR,73546,NL,50,NL,Large
2024,Entry Level,Full Time,Data Analyst,72128,EUR,80142,NL,0,NL,Medium
2024,Senior Level,Full Time,Ml Engineer,212000,USD,212000,DE,0,DE,Medium
2023,Executive,Full Time,Data Analyst,125000,USD,125000,US,100,US,Medium
2024,Senior Level,Full Time,Business Intelligence,193000,USD,193000,US,0,US,Medium
2024,Mid Level,Part Time,Research Scientist,138000,USD,138000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,155000,USD,155000,US,0,US,Medium
2023,Executive,Full Time,Data Engineer,145000,USD,145000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,125600,USD,125600,US,100,US,Medium
2022,Mid Level,Full Time,Data Analyst,135000,USD,135000,US,100,US,Medium
2023,Senior Level,Full Time,Data Engineer,118575,USD,118575,US,100,US,Medium
2022,Senior Level,Full Time,Applied Scientist,142800,USD,142800,US,100,US,Medium
2023,Senior Level,Full Time,Applied Scientist,250900,USD,250900,US,0,US,Medium
2023,Mid Level,Full Time,Data Engineer,100000,GBP,123040,GB,0,GB,Medium
2023,Senior Level,Full Time,Data Architect,285000,USD,285000,US,100,US,Medium
2023,Senior Level,Full Time,Data Scientist,185000,USD,185000,GB,0,GB,Medium
2023,Mid Level,Full Time,Machine Learning Engineer,100000,USD,100000,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,418000,USD,418000,US,100,US,Medium
2023,Mid Level,Full Time,Data Analyst,87500,USD,87500,US,100,US,Medium
2023,Senior Level,Full Time,Data Analyst,280000,USD,280000,US,0,US,Medium
2022,Entry Level,Full Time,Data Scientist,93000,USD,93000,US,0,US,Medium
2023,Mid Level,Full Time,Data Analyst,110000,USD,110000,US,0,US,Medium
2024,Entry Level,Full Time,Data Analyst,100000,USD,100000,US,0,US,Medium
2024,Senior Level,Full Time,Ai Engineer,93300,USD,93300,US,0,US,Medium
2024,Mid Level,Full Time,Data Integration Specialist,95500,USD,95500,US,100,US,Medium
2023,Senior Level,Full Time,Research Scientist,180000,USD,180000,US,0,US,Medium
2023,Senior Level,Full Time,Data Architect,68400,USD,68400,US,0,US,Medium
2024,Mid Level,Full Time,Data Scientist,110400,USD,110400,US,0,US,Medium
2024,Mid Level,Full Time,Data Scientist,33966,GBP,42457,ZA,0,ZA,Medium
2022,Mid Level,Full Time,Data Scientist,2400000,INR,30523,IN,100,IN,Large
2024,Senior Level,Full Time,Data Operations Specialist,206500,USD,206500,US,0,US,Medium
2023,Senior Level,Full Time,Principal Data Scientist,195000,USD,195000,US,100,US,Large
2024,Senior Level,Full Time,Data Engineer,123700,USD,123700,US,0,US,Large
2024,Senior Level,Full Time,Data Scientist,195000,USD,195000,US,100,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,189000,USD,189000,US,100,US,Medium
2022,Mid Level,Full Time,Data Analyst,40000,GBP,49253,GB,100,GB,Medium
2024,Entry Level,Full Time,Data Analyst,109700,USD,109700,US,0,US,Medium
2022,Senior Level,Full Time,Principal Data Scientist,148000,EUR,155499,DE,100,DE,Medium
2023,Senior Level,Full Time,Data Engineer,231000,USD,231000,US,100,US,Medium
2023,Senior Level,Full Time,Data Scientist,175000,USD,175000,CA,100,CA,Medium
2022,Senior Level,Full Time,Data Architect,345600,USD,345600,US,0,US,Medium
2024,Entry Level,Full Time,Data Science Analyst,150000,USD,150000,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Scientist,140000,USD,140000,US,0,US,Medium
2023,Senior Level,Full Time,Applied Scientist,220000,USD,220000,US,100,US,Medium
2023,Mid Level,Full Time,Research Scientist,240000,USD,240000,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,179000,USD,179000,US,100,US,Medium
2024,Entry Level,Part Time,Data Scientist,133000,USD,133000,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,132000,USD,132000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,180514,USD,180514,GB,100,GB,Medium
2023,Mid Level,Full Time,Data Science Engineer,113000,USD,113000,US,100,US,Medium
2023,Mid Level,Full Time,Data Analyst,101000,USD,101000,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,235000,USD,235000,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,119213,USD,119213,CA,100,CA,Medium
2022,Senior Level,Full Time,Data Scientist,153000,USD,153000,US,100,US,Medium
2023,Senior Level,Full Time,Bi Analyst,75000,USD,75000,US,100,US,Medium
2023,Senior Level,Full Time,Data Scientist,190000,USD,190000,CA,0,CA,Medium
2024,Entry Level,Full Time,Data Engineer,81000,USD,81000,US,0,US,Large
2021,Mid Level,Full Time,Data Scientist,30400000,CLP,40038,CL,100,CL,Large
2023,Senior Level,Full Time,Data Analyst,154500,USD,154500,US,100,US,Medium
2023,Senior Level,Full Time,Data Operations Manager,129000,USD,129000,US,100,US,Medium
2024,Mid Level,Full Time,Data Engineer,100700,USD,100700,US,0,US,Medium
2023,Entry Level,Full Time,Business Intelligence Analyst,80000,USD,80000,US,0,US,Medium
2024,Senior Level,Full Time,Data Scientist,120000,USD,120000,CA,0,CA,Medium
2023,Mid Level,Full Time,Data Analyst,150000,USD,150000,US,100,US,Medium
2024,Senior Level,Full Time,Analytics Engineer,329200,USD,329200,CA,100,CA,Medium
2024,Mid Level,Full Time,Data Scientist,145000,USD,145000,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,189360,USD,189360,US,100,US,Medium
2023,Mid Level,Full Time,Data Analyst,70000,USD,70000,PH,0,PH,Medium
2023,Senior Level,Full Time,Data Scientist,228000,USD,228000,US,0,US,Medium
2022,Entry Level,Full Time,Data Scientist,1400000,INR,17805,IN,100,IN,Medium
2023,Entry Level,Full Time,Admin & Data Analyst,50000,USD,50000,DE,0,DE,Medium
2023,Senior Level,Full Time,Data Engineer,105700,USD,105700,US,0,US,Large
2022,Entry Level,Full Time,Data Analyst,20000,USD,20000,CR,50,US,Medium
2023,Senior Level,Full Time,Data Analyst,78000,USD,78000,US,0,US,Medium
2023,Mid Level,Full Time,Data Manager,93000,USD,93000,US,0,US,Medium
2023,Mid Level,Full Time,Mlops Engineer,134000,USD,134000,US,100,US,Medium
2023,Senior Level,Full Time,Analytics Engineer,152900,USD,152900,GB,100,GB,Medium
2022,Senior Level,Full Time,Data Engineer,166000,USD,166000,US,100,US,Medium
2024,Mid Level,Full Time,Business Intelligence,178200,USD,178200,US,0,US,Medium
2020,Mid Level,Full Time,Data Scientist,55000,EUR,62726,FR,50,LU,Small
2023,Mid Level,Full Time,Data Engineer,158600,USD,158600,US,100,US,Medium
2023,Senior Level,Full Time,Data Engineer,160000,USD,160000,CA,100,CA,Medium
2024,Mid Level,Full Time,Machine Learning Engineer,126400,USD,126400,US,100,US,Medium
2024,Mid Level,Full Time,Data Scientist,85000,USD,85000,US,0,US,Medium
2023,Senior Level,Full Time,Data Visualization Analyst,110000,USD,110000,US,0,US,Medium
2023,Senior Level,Full Time,Data Architect,174500,USD,174500,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,175000,USD,175000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,175000,USD,175000,US,100,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,163200,USD,163200,US,0,US,Medium
2020,Entry Level,Full Time,Data Analyst,72000,USD,72000,US,100,US,Large
2023,Senior Level,Full Time,Data Scientist,84000,USD,84000,US,100,US,Medium
2024,Senior Level,Full Time,Data Scientist,153000,USD,153000,US,100,US,Medium
